"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" 1.87918863854078 1.84713037205983 1.85988895845152 1.89489390859688 1.89061853691363
"linear regression" 1.80497527754936 1.8095346505293 1.80497527754935 1.81004374874123 1.81110790641095
"multi linear regression" 1.80457018535996 1.80091264637596 1.79708751454222 1.86682230666281 1.86492157727661
"ridge" 1.80014404585316 1.8032860481546 1.80104854645853 1.81134555802262 1.81201595516299
"lasso" 1.80130635832279 1.8057396562696 1.79958015121427 1.81306622822 1.8120113053
"elastic net" 1.81045875486263 1.80469038019876 1.80259266808939 1.81426900796619 1.81073450018152
"bagging cart" 1.84616728449368 1.8868933744635 1.99671817726065 1.89977208338483 1.90266775088064
"random forest" 1.80327956382383 1.83234696333235 1.94895043642975 1.86750456901946 1.85870358386297
"gradient boost" 1.84386601803349 1.89420263143627 2.29818121778259 1.8984373001631 1.8800165630977
"svm" 1.87117615655387 1.87751721068754 1.8510846703767 1.99245093238676 1.98927579262291
"single layer ann" 1.82646254160909 1.91851086338508 1.82667888814437 12.5173280467831 1.98331204106857
"xgboost" 1.82933138777665 1.87144251585313 2.09724445055463 1.90539685442002 1.90760513288027
