"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" -0.0739318808831497 -0.0376026632075388 -0.0519861238179589 -0.0919576075952049 -0.0870356877842882
"linear regression" -0.0262916047453345 -0.026324820943973 -0.0371971260215072 -0.0375277301541197 -0.0374384680015565
"multi linear regression" 0.00966179252482979 0.0136721988323221 0.0178576623923696 -0.059843991967331 -0.05768690279997
"ridge" 0.0145139168294833 0.0110707459310888 0.0135233331031394 0.00221125736322714 0.00147253746208431
"lasso" 0.0132408936410846 0.00837777817449248 0.0151312266300264 0.000314677436828559 0.00147766215199041
"elastic net" 0.0031880180971553 0.00952986359645502 0.0118311045016639 -0.00101213575237913 0.00288435233387796
"bagging cart" -0.0365209402038469 -0.0827562468354766 -0.212465869310629 -0.0975870695887233 -0.100935544282521
"random forest" 0.0110778579839602 -0.0210603326291505 -0.155147835007722 -0.0606188099992486 -0.0506456134238904
"gradient boost" -0.033938482765933 -0.0911610377573822 -0.606218120060175 -0.0960452781837893 -0.0748783855861732
"svm" -0.0647933463265693 -0.0720223318915945 -0.042049974913509 -0.207289014419576 -0.20344424520564
"single layer ann" -0.0145127714107045 -0.119346393605065 -0.0147531259948144 -46.6495986778496 -0.196239327412685
"xgboost" -0.0177022886039164 -0.0650965115789379 -0.337624105891861 -0.104096077065041 -0.106656766130182
