"","x"
"has_null",0
"wave",0
"gender",0
"age",95
"age_o",104
"d_age",0
"d_d_age",0
"race",63
"race_o",73
"samerace",0
"importance_same_race",79
"importance_same_religion",79
"d_importance_same_race",0
"d_importance_same_religion",0
"field",63
"pref_o_attractive",89
"pref_o_sincere",89
"pref_o_intelligence",89
"pref_o_funny",98
"pref_o_ambitious",107
"pref_o_shared_interests",129
"d_pref_o_attractive",0
"d_pref_o_sincere",0
"d_pref_o_intelligence",0
"d_pref_o_funny",0
"d_pref_o_ambitious",0
"d_pref_o_shared_interests",0
"attractive_o",212
"sinsere_o",287
"intelligence_o",306
"funny_o",360
"ambitous_o",722
"shared_interests_o",1076
"d_attractive_o",0
"d_sinsere_o",0
"d_intelligence_o",0
"d_funny_o",0
"d_ambitous_o",0
"d_shared_interests_o",0
"attractive_important",79
"sincere_important",79
"intellicence_important",79
"funny_important",89
"ambtition_important",99
"shared_interests_important",121
"d_attractive_important",0
"d_sincere_important",0
"d_intellicence_important",0
"d_funny_important",0
"d_ambtition_important",0
"d_shared_interests_important",0
"attractive",105
"sincere",105
"intelligence",105
"funny",105
"ambition",105
"d_attractive",0
"d_sincere",0
"d_intelligence",0
"d_funny",0
"d_ambition",0
"attractive_partner",202
"sincere_partner",277
"intelligence_partner",296
"funny_partner",350
"ambition_partner",712
"shared_interests_partner",1067
"d_attractive_partner",0
"d_sincere_partner",0
"d_intelligence_partner",0
"d_funny_partner",0
"d_ambition_partner",0
"d_shared_interests_partner",0
"sports",79
"tvsports",79
"exercise",79
"dining",79
"museums",79
"art",79
"hiking",79
"gaming",79
"clubbing",79
"reading",79
"tv",79
"theater",79
"movies",79
"concerts",79
"music",79
"shopping",79
"yoga",79
"d_sports",0
"d_tvsports",0
"d_exercise",0
"d_dining",0
"d_museums",0
"d_art",0
"d_hiking",0
"d_gaming",0
"d_clubbing",0
"d_reading",0
"d_tv",0
"d_theater",0
"d_movies",0
"d_concerts",0
"d_music",0
"d_shopping",0
"d_yoga",0
"interests_correlate",158
"d_interests_correlate",0
"expected_happy_with_sd_people",101
"expected_num_interested_in_me",6578
"expected_num_matches",1173
"d_expected_happy_with_sd_people",0
"d_expected_num_interested_in_me",0
"d_expected_num_matches",0
"like",240
"guess_prob_liked",309
"d_like",0
"d_guess_prob_liked",0
"met",375
"decision",0
"decision_o",0
"match",0
