iid,pid,gender,age,age_o,samerace,importance_same_race,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,met,att_m,sin_m,int_m,fun_m,amb_m,sha_m,decision_o,like_o
11,1,0,27,21,0,7,15,20,20,15,15,15,6,9,7,7,6,5,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,6,7,0,5.6,8.7,8,5.3,6.4,5.2,1,7
12,1,0,22,21,0,1,15,20,20,15,15,15,7,8,7,8,5,6,60,0,0,40,0,0,9,9,9,10,9,7,8,10,7,7,5,8,0,7.8,7.2,7.8,7.3,7.6,6.1,1,7
13,1,0,22,21,1,3,15,20,20,15,15,15,5,8,9,8,5,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,5,8,8.9,6.4,5.6,5.4,1,7
14,1,0,23,21,0,1,15,20,20,15,15,15,7,6,8,7,6,8,30,5,15,40,5,5,9,9,9,9,9,7,8,9,8,9,8,7,0,8,7.3,7.1,7.3,6.2,7.4,1,7
15,1,0,24,21,0,3,15,20,20,15,15,15,5,6,7,7,6,6,30,10,20,10,10,20,7,7,7,9,9,8,7,9,6,9,7,8,0,5.3,7.3,7.4,7.1,6,6.1,1,6
16,1,0,25,21,0,9,15,20,20,15,15,15,4,9,7,4,6,4,50,0,30,10,0,10,6,6,8,8,6,7,7,8,8,7,7,7,0,5.7,8.2,7.8,4.4,6,4.7,0,6
17,1,0,30,21,0,1,15,20,20,15,15,15,7,6,7,4,6,7,35,15,25,10,5,10,7,7,6,8,4,3,6,7,5,8,7,2,0,6.9,7.3,8.6,6.1,6.4,6.7,1,6
18,1,0,27,21,0,8,15,20,20,15,15,15,4,9,7,6,5,6,33,11,11,11,11,22,6,8,6,8,9,6,7,5,6,8,6,7,0,5.1,7.6,7.9,5.3,7.8,5.6,0,6
19,1,0,28,21,0,1,15,20,20,15,15,15,7,6,8,9,8,8,50,0,25,10,0,15,10,6,10,10,10,7,7,8,8,8,9,6,0,7.7,6.8,7.7,8.5,7.1,7.7,1,7
20,1,0,24,21,0,1,15,20,20,15,15,15,5,6,6,8,10,8,100,0,0,0,0,0,7,7,10,10,10,6,6,6,6,6,6,6,0,7.5,7.3,7.9,8.2,8.4,7.3,1,6
11,2,0,27,24,1,7,45,5,25,20,0,5,5,7,8,4,6,3,35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,4,7,0,5.6,8.7,8,5.3,6.4,5.2,0,6
12,2,0,22,24,1,1,45,5,25,20,0,5,8,5,6,6,9,6,60,0,0,40,0,0,9,9,9,10,9,7,6,10,6,6,5,8,0,7.8,7.2,7.8,7.3,7.6,6.1,0,7
13,2,0,22,24,0,3,45,5,25,20,0,5,5,8,9,6,3,4,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0,6
14,2,0,23,24,1,1,45,5,25,20,0,5,7,9,7,6,5,7,30,5,15,40,5,5,9,9,9,9,9,9,9,9,9,9,9,9,0,8,7.3,7.1,7.3,6.2,7.4,1,7
15,2,0,24,24,0,3,45,5,25,20,0,5,6,8,7,9,7,8,30,10,20,10,10,20,7,7,7,9,9,10,10,10,10,7,8,10,1,5.3,7.3,7.4,7.1,6,6.1,0,8
16,2,0,25,24,1,9,45,5,25,20,0,5,8,7,8,3,6,2,50,0,30,10,0,10,6,6,8,8,6,7,8,7,5,7,7,7,0,5.7,8.2,7.8,4.4,6,4.7,0,6
17,2,0,30,24,1,1,45,5,25,20,0,5,7,5,9,6,7,9,35,15,25,10,5,10,7,7,6,8,4,5,3,4,3,5,3,4,0,6.9,7.3,8.6,6.1,6.4,6.7,1,8
18,2,0,27,24,1,8,45,5,25,20,0,5,5,8,7,5,9,5,33,11,11,11,11,22,6,8,6,8,9,7,7,7,7,7,5,7,0,5.1,7.6,7.9,5.3,7.8,5.6,0,5
19,2,0,28,24,1,1,45,5,25,20,0,5,7,6,8,9,4,5,50,0,25,10,0,15,10,6,10,10,10,8,6,9,9,8,7,8,0,7.7,6.8,7.7,8.5,7.1,7.7,1,5
20,2,0,24,24,1,1,45,5,25,20,0,5,6,7,8,7,9,8,100,0,0,0,0,0,7,7,10,10,10,6,5,7,7,9,7,6,0,7.5,7.3,7.9,8.2,8.4,7.3,1,8
11,3,0,27,25,1,7,35,10,35,10,10,0,7,9,10,7,8,9,35,20,20,20,0,5,8,9,7,8,5,7,8,6,5,8,4,5,1,5.6,8.7,8,5.3,6.4,5.2,0,8
12,3,0,22,25,1,1,35,10,35,10,10,0,9,7,9,8,9,7,60,0,0,40,0,0,9,9,9,10,9,6,7,10,6,6,5,7,0,7.8,7.2,7.8,7.3,7.6,6.1,0,8
13,3,0,22,25,0,3,35,10,35,10,10,0,7,9,9,7,9,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0,8
14,3,0,23,25,1,1,35,10,35,10,10,0,9,7,9,7,9,7,30,5,15,40,5,5,9,9,9,9,9,7,9,8,8,8,8,7,0,8,7.3,7.1,7.3,6.2,7.4,0,8
16,3,0,25,25,1,9,35,10,35,10,10,0,8,10,10,7,9,9,50,0,30,10,0,10,6,6,8,8,6,7,6,6,6,6,6,6,0,5.7,8.2,7.8,4.4,6,4.7,0,8
17,3,0,30,25,1,1,35,10,35,10,10,0,8,9,10,7,7,9,35,15,25,10,5,10,7,7,6,8,4,6,3,5,4,5,4,2,0,6.9,7.3,8.6,6.1,6.4,6.7,0,8
18,3,0,27,25,1,8,35,10,35,10,10,0,7,9,9,8,9,7,33,11,11,11,11,22,6,8,6,8,9,4,5,6,4,6,4,5,0,5.1,7.6,7.9,5.3,7.8,5.6,0,8
19,3,0,28,25,1,1,35,10,35,10,10,0,9,9,9,9,9,9,50,0,25,10,0,15,10,6,10,10,10,7,7,6,8,7,7,7,0,7.7,6.8,7.7,8.5,7.1,7.7,0,9
20,3,0,24,25,1,1,35,10,35,10,10,0,8,7,9,7,9,7,100,0,0,0,0,0,7,7,10,10,10,5,6,8,5,8,6,5,0,7.5,7.3,7.9,8.2,8.4,7.3,0,8
11,4,0,27,23,1,7,20,20,20,20,10,10,4,10,8,5,8,7,35,20,20,20,0,5,8,9,7,8,5,6,7,8,7,7,5,6,0,5.6,8.7,8,5.3,6.4,5.2,0,6
12,4,0,22,23,1,1,20,20,20,20,10,10,8,7,8,10,7,8,60,0,0,40,0,0,9,9,9,10,9,6,5,10,6,6,5,6,1,7.8,7.2,7.8,7.3,7.6,6.1,0,8
14,4,0,23,23,1,1,20,20,20,20,10,10,8,10,7,10,7,10,30,5,15,40,5,5,9,9,9,9,9,7,7,7,9,9,9,8,1,8,7.3,7.1,7.3,6.2,7.4,1,8
15,4,0,24,23,0,3,20,20,20,20,10,10,6,9,8,9,8,9,30,10,20,10,10,20,7,7,7,9,9,8,8,9,8,8,9,9,0,5.3,7.3,7.4,7.1,6,6.1,0,7
16,4,0,25,23,1,9,20,20,20,20,10,10,5,10,8,4,8,2,50,0,30,10,0,10,6,6,8,8,6,6,6,7,7,8,7,6,0,5.7,8.2,7.8,4.4,6,4.7,0,4
17,4,0,30,23,1,1,20,20,20,20,10,10,7,10,10,7,10,5,35,15,25,10,5,10,7,7,6,8,4,7,6,3,5,6,5,6,0,6.9,7.3,8.6,6.1,6.4,6.7,0,5
18,4,0,27,23,1,8,20,20,20,20,10,10,5,9,9,5,9,7,33,11,11,11,11,22,6,8,6,8,9,6,7,8,6,6,5,7,0,5.1,7.6,7.9,5.3,7.8,5.6,0,6
