gender,age,age_o,samerace,importance_same_race,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,met,decision_o
1,21,27,0,2,35,20,20,20,0,5,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,7,0,0
1,21,22,0,2,60,0,0,40,0,0,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,7,1,0
1,21,22,1,2,19,18,19,18,14,12,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,7,1,1
1,21,23,0,2,30,5,15,40,5,5,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,7,0,1
1,21,24,0,2,30,10,20,10,10,20,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,6,0,1
1,21,25,0,2,50,0,30,10,0,10,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,6,0,1
1,21,30,0,2,35,15,25,10,5,10,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,6,0,0
1,21,28,0,2,50,0,25,10,0,15,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,7,0,1
1,21,24,0,2,100,0,0,0,0,0,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,6,0,0
1,24,27,1,2,35,20,20,20,0,5,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,6,0,0
1,24,22,1,2,60,0,0,40,0,0,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,7,0,0
1,24,22,0,2,19,18,19,18,14,12,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,6,0,1
1,24,23,1,2,30,5,15,40,5,5,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,7,0,1
1,24,24,0,2,30,10,20,10,10,20,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,8,1,1
1,24,25,1,2,50,0,30,10,0,10,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,6,0,1
1,24,30,1,2,35,15,25,10,5,10,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,8,0,0
1,24,27,1,2,33.33,11.11,11.11,11.11,11.11,22.22,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,5,0,1
1,24,28,1,2,50,0,25,10,0,15,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,5,0,1
1,24,24,1,2,100,0,0,0,0,0,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,8,0,0
1,25,27,1,8,35,20,20,20,0,5,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,8,1,0
1,25,22,1,8,60,0,0,40,0,0,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,8,0,0
1,25,22,0,8,19,18,19,18,14,12,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,8,0,1
1,25,23,1,8,30,5,15,40,5,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,8,0,1
1,25,24,0,8,30,10,20,10,10,20,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,9,0,1
1,25,25,1,8,50,0,30,10,0,10,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,8,0,1
1,25,30,1,8,35,15,25,10,5,10,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,8,0,0
1,25,27,1,8,33.33,11.11,11.11,11.11,11.11,22.22,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,8,0,0
1,25,28,1,8,50,0,25,10,0,15,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,9,0,1
1,25,24,1,8,100,0,0,0,0,0,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,8,0,0
1,23,27,1,1,35,20,20,20,0,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,6,0,0
1,23,22,1,1,60,0,0,40,0,0,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,8,1,0
1,23,22,0,1,19,18,19,18,14,12,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,4,0,1
1,23,23,1,1,30,5,15,40,5,5,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,8,1,1
1,23,24,0,1,30,10,20,10,10,20,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,7,0,1
1,23,25,1,1,50,0,30,10,0,10,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,4,0,1
1,23,30,1,1,35,15,25,10,5,10,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,5,0,1
1,23,27,1,1,33.33,11.11,11.11,11.11,11.11,22.22,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,6,0,0
1,23,28,1,1,50,0,25,10,0,15,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,8,0,1
1,23,24,1,1,100,0,0,0,0,0,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,10,0,0
1,21,27,1,8,35,20,20,20,0,5,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,0,0
1,21,22,1,8,60,0,0,40,0,0,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,6,1,0
1,21,22,0,8,19,18,19,18,14,12,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,6,1,1
1,21,23,1,8,30,5,15,40,5,5,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,8,1,1
1,21,24,0,8,30,10,20,10,10,20,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,0,0
1,21,25,1,8,50,0,30,10,0,10,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,0,0
1,21,30,1,8,35,15,25,10,5,10,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,6,0,0
1,21,27,1,8,33.33,11.11,11.11,11.11,11.11,22.22,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,6,0,0
1,21,28,1,8,50,0,25,10,0,15,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,9,0,1
1,21,24,1,8,100,0,0,0,0,0,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,10,0,0
